Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,13.999750,14.054250,13.773500,13.861500,13.833316,191744000
2021-04-07,13.880750,14.243500,13.711500,14.143500,14.114743,251284000
2021-04-08,14.252750,14.471500,14.249000,14.317000,14.287889,244416000
2021-04-09,14.214000,14.408000,14.175000,14.400000,14.370724,195172000
2021-04-12,14.289750,15.352500,14.139250,15.209000,15.178079,869324000
2021-04-13,15.231500,15.700000,15.125750,15.679500,15.647622,676212000
2021-04-14,15.625000,15.720500,15.227500,15.277000,15.245939,385500000
2021-04-15,15.662500,16.214251,15.631500,16.137251,16.104439,598480000
2021-04-16,16.052999,16.165751,15.865250,15.912500,15.880148,335208000
2021-04-19,15.536500,15.807500,15.233000,15.361750,15.330514,404420000
2021-04-20,15.323250,15.497000,14.963000,15.171250,15.140406,334132000
2021-04-21,15.118750,15.362500,15.102250,15.360500,15.329272,216776000
2021-04-22,15.375000,15.438500,14.783500,14.850250,14.820059,277788000
2021-04-23,14.934250,15.335000,14.900250,15.265250,15.234215,227500000
2021-04-26,15.185000,15.479000,15.125000,15.478000,15.446531,197796000
2021-04-27,15.578500,15.670500,15.354500,15.381750,15.350477,164572000
2021-04-28,15.364500,15.532250,15.215500,15.276750,15.245689,209416000
2021-04-29,15.400000,15.436500,15.071500,15.324750,15.293592,173196000
2021-04-30,15.174500,15.365000,14.997000,15.009500,14.978984,201912000
2021-05-03,15.125000,15.246750,14.787500,14.836750,14.806585,203912000
2021-05-04,14.637250,14.637500,14.010250,14.351250,14.322071,405324000
2021-05-05,14.709000,14.813500,14.387500,14.458500,14.429103,292024000
2021-05-06,14.495250,14.571250,14.218000,14.523000,14.493471,193380000
2021-05-07,14.808250,14.970750,14.671750,14.812250,14.782135,229328000
2021-05-10,14.787250,14.806000,14.250000,14.265750,14.236745,268904000
2021-05-11,13.825000,14.354750,13.750000,14.306250,14.277163,285584000
2021-05-12,14.009500,14.260250,13.709250,13.758500,13.730527,303408000
2021-05-13,14.033750,14.080750,13.459000,13.665250,13.637465,285404000
2021-05-14,13.890000,14.328000,13.748500,14.243000,14.214042,258616000
2021-05-17,14.157000,14.169250,13.853500,14.165500,14.136699,216980000
2021-05-18,14.267000,14.404250,14.004000,14.015750,13.987253,186256000
2021-05-19,13.566500,14.079500,13.543250,14.065750,14.037154,344000000
2021-05-20,14.302500,14.683750,14.270500,14.612500,14.582791,321592000
2021-05-21,15.163750,15.222000,14.869500,14.991750,14.961269,672992000
2021-05-24,15.212500,15.745000,15.176000,15.612000,15.580259,554816000
2021-05-25,15.766000,15.818500,15.482500,15.647750,15.615936,435408000
2021-05-26,15.734250,15.793750,15.586250,15.700000,15.668078,370440000
2021-05-27,15.699750,15.750000,15.460000,15.488000,15.456511,581476000
2021-05-28,15.501000,16.277500,15.501000,16.244499,16.211475,644536000
2021-06-01,16.270000,16.388250,15.903250,16.264500,16.231432,472804000
2021-06-02,16.252251,16.918751,16.235500,16.778250,16.744135,594168000
2021-06-03,16.700750,17.259001,16.583000,16.969749,16.935251,580008000
2021-06-04,17.112499,17.660999,17.095501,17.578251,17.542511,617120000
2021-06-07,17.571251,17.812500,17.192751,17.618999,17.583179,575756000
2021-06-08,17.527250,17.621500,17.250999,17.457001,17.421511,323848000
2021-06-09,17.515751,17.575001,17.255751,17.358250,17.326929,381656000
2021-06-10,17.350000,17.492001,17.176001,17.424999,17.393559,287772000
